name,symbol,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,market_cap_change_percentage_24h,last_updated (date),Last Updated (Time)
Bitcoin,btc,72649,1453.89B,1,28116796992,73370,72417,-0.32489,11-Apr-26,14:44:11
Ethereum,eth,2239.97,270.3B,2,10782024518,2255.77,2222.95,-0.13742,11-Apr-26,14:44:11
Tether,usdt,1,184.33B,3,45558085493,1,1,0.097,11-Apr-26,14:44:08
BNB,bnb,604.73,82.46B,4,781899817,610.24,603.46,-0.28895,11-Apr-26,14:44:11
XRP,xrp,1.34,82.42B,5,1497303770,1.36,1.34,-0.84619,11-Apr-26,14:44:10
USDC,usdc,1,78.64B,6,8684135393,1,0.999579,0.31845,11-Apr-26,14:44:11
Solana,sol,84.26,48.4B,7,2190531089,85.48,83.98,-0.67316,11-Apr-26,14:44:10
TRON,trx,0.32,30.19B,8,425434797,0.319232,0.317125,0.04115,11-Apr-26,14:44:04
Figure Heloc,figr_heloc,1.02,17.01B,9,22937063,1.034,1.021,-1.06834,11-Apr-26,14:44:08
Dogecoin,doge,0.09,14.23B,10,1084455285,0.095106,0.09239,-1.41364,11-Apr-26,14:44:07
